policy_id,insured_id,gender,birth_year,issue_age,issue_date,issue_year,valuation_date,valuation_year,product_type,policy_term,policy_duration,face_amount,annual_premium,payment_mode,smoking_status,risk_class,policy_status,account_value,claim_flag
P000040,I00030,F,1983,30,2013-06-22,2013,2026-12-31,2026,Term Life,20,13,4500000,37700,Quarterly,Smoker,Standard,Inforce,0,0
P000041,I00031,F,1990,34,2024-02-22,2024,2026-12-31,2026,Term Life,15,2,3100000,14800,Semiannual,Non-Smoker,Preferred,Inforce,0,0
P000042,I00032,F,1992,21,2013-02-17,2013,2026-12-31,2026,Term Life,20,13,1600000,11200,Annual,Non-Smoker,Substandard,Inforce,0,0
P000043,I00032,F,1992,29,2021-07-14,2021,2026-12-31,2026,Universal Life,30,5,1900000,35100,Annual,Non-Smoker,Substandard,Inforce,124600,0
P000044,I00033,F,1993,28,2021-02-19,2021,2026-12-31,2026,Universal Life,99,5,2600000,48000,Annual,Smoker,Standard,Inforce,195700,0
P000045,I00034,M,1991,20,2011-07-03,2011,2026-12-31,2026,Whole Life,99,15,5500000,121400,Monthly,Non-Smoker,Substandard,Inforce,789200,0
P000046,I00034,M,1991,31,2022-06-26,2022,2026-12-31,2026,Whole Life,99,4,1200000,27300,Monthly,Non-Smoker,Substandard,Inforce,31100,0
P000047,I00034,M,1991,32,2023-11-06,2023,2026-12-31,2026,Whole Life,99,3,1200000,35600,Monthly,Non-Smoker,Substandard,Inforce,48500,0
P000048,I00035,M,1989,33,2022-05-16,2022,2026-12-31,2026,Term Life,15,4,4800000,21300,Monthly,Non-Smoker,Standard,Inforce,0,0
P000049,I00035,M,1989,31,2020-01-23,2020,2026-12-31,2026,Term Life,20,6,1300000,5900,Annual,Non-Smoker,Standard,Inforce,0,0
P000050,I00035,M,1989,33,2022-08-24,2022,2026-12-31,2026,Term Life,20,4,1900000,9400,Quarterly,Non-Smoker,Standard,Inforce,0,0
P000051,I00036,M,1961,60,2021-10-02,2021,2026-12-31,2026,Whole Life,99,5,2100000,62000,Monthly,Non-Smoker,Standard,Inforce,78500,0
P000052,I00036,M,1961,61,2022-03-05,2022,2026-12-31,2026,Universal Life,50,4,4100000,93900,Semiannual,Non-Smoker,Standard,Inforce,257600,0
P000053,I00037,M,1981,39,2020-07-12,2020,2026-12-31,2026,Whole Life,99,6,2600000,87100,Quarterly,Smoker,Preferred,Inforce,237200,0
P000054,I00038,F,1982,35,2017-02-10,2017,2026-12-31,2026,Term Life,30,9,7400000,62300,Annual,Smoker,Standard,Lapsed,0,0
P000055,I00039,F,1976,49,2025-10-10,2025,2026-12-31,2026,Term Life,25,1,1700000,11900,Monthly,Non-Smoker,Standard,Inforce,0,0
P000056,I00040,F,1968,43,2011-05-31,2011,2026-12-31,2026,Term Life,20,15,2600000,14200,Monthly,Non-Smoker,Preferred,Inforce,0,0
P000057,I00041,M,1961,63,2024-11-17,2024,2026-12-31,2026,Universal Life,50,2,2000000,79700,Monthly,Smoker,Standard,Lapsed,94200,0
P000058,I00042,F,1991,34,2025-11-13,2025,2026-12-31,2026,Whole Life,99,1,1000000,16300,Quarterly,Non-Smoker,Preferred,Inforce,3900,0
P000059,I00043,F,1976,49,2025-07-05,2025,2026-12-31,2026,Whole Life,99,1,1600000,47800,Annual,Non-Smoker,Standard,Inforce,13100,0
P000060,I00044,F,1959,63,2022-10-23,2022,2026-12-31,2026,Term Life,25,4,1100000,8700,Monthly,Non-Smoker,Standard,Surrendered,0,0
P000061,I00044,F,1959,59,2018-04-09,2018,2026-12-31,2026,Universal Life,99,8,1200000,26600,Monthly,Non-Smoker,Standard,Inforce,176600,0
P000062,I00045,F,1956,67,2023-12-27,2023,2026-12-31,2026,Universal Life,40,3,1500000,62900,Monthly,Smoker,Standard,Inforce,70400,0
P000063,I00046,F,1981,42,2023-02-05,2023,2026-12-31,2026,Term Life,15,3,4100000,20400,Annual,Non-Smoker,Standard,Lapsed,0,0
P000064,I00047,M,1975,44,2019-01-24,2019,2026-12-31,2026,Whole Life,99,7,1600000,89300,Annual,Smoker,Substandard,Inforce,144900,0
P000065,I00048,F,1992,24,2016-12-04,2016,2026-12-31,2026,Whole Life,99,10,800000,15900,Monthly,Non-Smoker,Standard,Lapsed,80600,0
P000066,I00049,M,1969,53,2022-04-27,2022,2026-12-31,2026,Term Life,30,4,6100000,38700,Annual,Non-Smoker,Standard,Inforce,0,0
P000067,I00050,M,1975,45,2020-05-28,2020,2026-12-31,2026,Term Life,20,6,2300000,13900,Monthly,Non-Smoker,Standard,Lapsed,0,0
P000068,I00051,F,1964,59,2023-02-10,2023,2026-12-31,2026,Universal Life,50,3,2400000,49000,Semiannual,Non-Smoker,Standard,Inforce,73200,0
P000069,I00051,F,1964,47,2011-04-30,2011,2026-12-31,2026,Whole Life,99,15,1000000,28600,Monthly,Non-Smoker,Standard,Inforce,100100,0
P000070,I00051,F,1964,47,2011-02-21,2011,2026-12-31,2026,Whole Life,99,15,1200000,33300,Semiannual,Non-Smoker,Standard,Inforce,244100,0
P000071,I00052,M,1977,39,2016-07-13,2016,2026-12-31,2026,Universal Life,40,10,5500000,76500,Quarterly,Non-Smoker,Preferred,Inforce,406300,0
P000072,I00052,M,1977,38,2015-05-23,2015,2026-12-31,2026,Term Life,10,10,9500000,42800,Annual,Non-Smoker,Preferred,Lapsed,0,0
P000073,I00053,F,1993,29,2022-08-21,2022,2026-12-31,2026,Whole Life,99,4,3500000,55300,Annual,Non-Smoker,Preferred,Lapsed,107600,0
P000074,I00053,F,1993,23,2016-11-21,2016,2026-12-31,2026,Term Life,20,10,1900000,8400,Annual,Non-Smoker,Preferred,Inforce,0,0
P000075,I00053,F,1993,29,2022-07-06,2022,2026-12-31,2026,Whole Life,99,4,1500000,22400,Annual,Non-Smoker,Preferred,Inforce,18600,0
P000076,I00054,M,1959,62,2021-03-25,2021,2026-12-31,2026,Term Life,20,5,1400000,10900,Annual,Non-Smoker,Preferred,Inforce,0,0
P000077,I00054,M,1959,61,2020-07-08,2020,2026-12-31,2026,Universal Life,50,6,1100000,19500,Annual,Non-Smoker,Preferred,Inforce,88000,0
P000078,I00055,F,1955,62,2017-07-01,2017,2026-12-31,2026,Term Life,10,9,2300000,16600,Quarterly,Non-Smoker,Standard,Inforce,0,0
P000079,I00056,M,1967,55,2022-04-18,2022,2026-12-31,2026,Whole Life,99,4,3800000,89100,Annual,Non-Smoker,Preferred,Inforce,134500,0
P000080,I00056,M,1967,57,2024-12-09,2024,2026-12-31,2026,Term Life,25,2,800000,4500,Quarterly,Non-Smoker,Preferred,Inforce,0,0
P000081,I00056,M,1967,56,2023-05-17,2023,2026-12-31,2026,Term Life,20,3,7000000,44600,Annual,Non-Smoker,Preferred,Inforce,0,0
P000082,I00057,F,1975,38,2013-12-26,2013,2026-12-31,2026,Universal Life,50,13,2200000,39000,Monthly,Non-Smoker,Standard,Inforce,400400,0
P000083,I00058,F,1980,37,2017-12-16,2017,2026-12-31,2026,Universal Life,50,9,2000000,34500,Quarterly,Non-Smoker,Standard,Inforce,261100,0
P000084,I00059,M,1999,18,2014-11-28,2014,2026-12-31,2026,Term Life,20,12,1900000,6600,Monthly,Non-Smoker,Preferred,Inforce,0,0
P000085,I00060,F,1975,46,2021-02-06,2021,2026-12-31,2026,Term Life,20,5,2200000,14600,Annual,Non-Smoker,Standard,Inforce,0,0
P000086,I00061,F,1972,50,2022-11-08,2022,2026-12-31,2026,Whole Life,99,4,1400000,46800,Semiannual,Non-Smoker,Substandard,Inforce,88900,0
P000087,I00062,M,1991,34,2025-11-22,2025,2026-12-31,2026,Universal Life,30,1,2700000,56100,Semiannual,Smoker,Standard,Inforce,47100,0
P000088,I00063,M,1999,18,2015-03-29,2015,2026-12-31,2026,Whole Life,99,11,1800000,28300,Quarterly,Non-Smoker,Standard,Inforce,118600,0
P000089,I00063,M,1999,22,2021-10-01,2021,2026-12-31,2026,Whole Life,99,5,1200000,22200,Annual,Non-Smoker,Standard,Inforce,58200,0
P000090,I00064,M,1986,33,2019-05-06,2019,2026-12-31,2026,Term Life,20,7,3200000,16100,Annual,Non-Smoker,Standard,Inforce,0,0
P000091,I00065,M,1990,31,2021-03-25,2021,2026-12-31,2026,Whole Life,99,5,900000,14100,Annual,Non-Smoker,Standard,Inforce,17000,0
P000092,I00066,F,1971,53,2024-08-24,2024,2026-12-31,2026,Term Life,25,2,2700000,16900,Annual,Non-Smoker,Preferred,Inforce,0,0
P000093,I00067,F,1989,35,2024-07-13,2024,2026-12-31,2026,Whole Life,99,2,2500000,54300,Semiannual,Non-Smoker,Standard,Inforce,47000,0
P000094,I00068,M,2003,21,2024-05-18,2024,2026-12-31,2026,Term Life,30,2,5600000,27900,Semiannual,Non-Smoker,Standard,Inforce,0,0
P000095,I00068,M,2003,18,2018-11-24,2018,2026-12-31,2026,Universal Life,30,8,6500000,89600,Monthly,Non-Smoker,Standard,Inforce,485300,0
P000096,I00069,M,1965,46,2011-12-19,2011,2026-12-31,2026,Term Life,10,10,3400000,26200,Annual,Non-Smoker,Substandard,Lapsed,0,0
P000097,I00070,F,1975,45,2020-10-12,2020,2026-12-31,2026,Whole Life,99,6,900000,21100,Annual,Non-Smoker,Preferred,Inforce,47200,0
P000098,I00070,F,1975,47,2022-04-23,2022,2026-12-31,2026,Term Life,20,4,1300000,6600,Annual,Non-Smoker,Preferred,Claimed,0,1
P000099,I00070,F,1975,47,2022-12-17,2022,2026-12-31,2026,Term Life,15,4,1800000,10900,Monthly,Non-Smoker,Preferred,Lapsed,0,0
P000100,I00070,F,1975,36,2011-06-16,2011,2026-12-31,2026,Universal Life,40,15,4000000,56500,Semiannual,Non-Smoker,Preferred,Inforce,649900,0
P000101,I00071,M,1980,42,2022-01-29,2022,2026-12-31,2026,Term Life,20,4,3200000,14500,Annual,Non-Smoker,Preferred,Inforce,0,0
P000102,I00071,M,1980,39,2019-04-28,2019,2026-12-31,2026,Term Life,15,7,5200000,22800,Annual,Non-Smoker,Preferred,Inforce,0,0
P000103,I00072,M,1958,55,2013-01-17,2013,2026-12-31,2026,Whole Life,99,13,2600000,116900,Annual,Non-Smoker,Substandard,Inforce,732600,0
P000104,I00073,F,1988,32,2020-06-10,2020,2026-12-31,2026,Term Life,25,6,4200000,28600,Monthly,Smoker,Standard,Lapsed,0,0
P000105,I00074,F,2002,20,2022-07-25,2022,2026-12-31,2026,Whole Life,99,4,1000000,16600,Annual,Non-Smoker,Standard,Inforce,34300,0
P000106,I00074,F,2002,21,2023-05-18,2023,2026-12-31,2026,Term Life,20,3,1600000,7800,Annual,Non-Smoker,Standard,Lapsed,0,0
P000107,I00075,F,1972,38,2010-02-03,2010,2026-12-31,2026,Term Life,20,16,6000000,31300,Annual,Non-Smoker,Standard,Inforce,0,0
P000108,I00076,F,1994,26,2020-04-18,2020,2026-12-31,2026,Universal Life,40,6,1500000,19700,Quarterly,Non-Smoker,Standard,Inforce,65800,0
P000109,I00076,F,1994,30,2024-10-17,2024,2026-12-31,2026,Term Life,20,2,1500000,6200,Annual,Non-Smoker,Standard,Inforce,0,0
P000110,I00077,F,1989,28,2017-06-11,2017,2026-12-31,2026,Whole Life,99,9,2000000,31300,Monthly,Non-Smoker,Preferred,Claimed,97200,1
P000111,I00077,F,1989,34,2023-04-19,2023,2026-12-31,2026,Whole Life,99,3,3500000,53700,Semiannual,Non-Smoker,Preferred,Inforce,63000,0
P000112,I00078,F,1995,26,2021-12-02,2021,2026-12-31,2026,Term Life,30,5,1900000,11800,Semiannual,Non-Smoker,Substandard,Claimed,0,1
P000113,I00079,M,1983,38,2021-09-13,2021,2026-12-31,2026,Universal Life,99,5,3000000,51800,Monthly,Non-Smoker,Standard,Inforce,143500,0
P000114,I00080,M,1983,41,2024-07-21,2024,2026-12-31,2026,Whole Life,99,2,3300000,80200,Monthly,Non-Smoker,Standard,Inforce,58200,0
P000115,I00081,M,1992,24,2016-11-25,2016,2026-12-31,2026,Whole Life,99,10,3300000,49000,Annual,Non-Smoker,Preferred,Inforce,100300,0
P000116,I00081,M,1992,29,2021-08-23,2021,2026-12-31,2026,Term Life,15,5,2600000,9100,Semiannual,Non-Smoker,Preferred,Inforce,0,0
P000117,I00082,M,1996,27,2023-03-15,2023,2026-12-31,2026,Whole Life,99,3,1800000,32500,Monthly,Non-Smoker,Standard,Claimed,27400,1
P000118,I00083,F,1975,37,2012-05-15,2012,2026-12-31,2026,Whole Life,99,14,2100000,45900,Annual,Non-Smoker,Standard,Inforce,212700,0
P000119,I00084,M,1996,28,2024-03-12,2024,2026-12-31,2026,Term Life,30,2,2000000,9400,Annual,Non-Smoker,Standard,Inforce,0,0
P000120,I00085,M,1967,51,2018-05-07,2018,2026-12-31,2026,Whole Life,99,8,2900000,80100,Monthly,Non-Smoker,Standard,Inforce,280100,0
P000121,I00086,M,2003,19,2022-10-15,2022,2026-12-31,2026,Term Life,20,4,1300000,4500,Semiannual,Non-Smoker,Preferred,Inforce,0,0
P000122,I00087,M,1995,28,2023-10-03,2023,2026-12-31,2026,Whole Life,99,3,900000,17500,Quarterly,Non-Smoker,Standard,Inforce,18100,0
P000123,I00087,M,1995,23,2018-05-15,2018,2026-12-31,2026,Whole Life,99,8,2100000,41900,Quarterly,Non-Smoker,Standard,Lapsed,152000,0
P000124,I00088,F,1971,42,2013-10-27,2013,2026-12-31,2026,Term Life,20,13,1300000,8700,Semiannual,Non-Smoker,Standard,Inforce,0,0
P000125,I00089,M,1963,59,2022-08-08,2022,2026-12-31,2026,Term Life,20,4,2300000,16700,Monthly,Non-Smoker,Standard,Inforce,0,0
P000126,I00089,M,1963,49,2012-10-25,2012,2026-12-31,2026,Universal Life,99,14,4500000,85300,Monthly,Non-Smoker,Standard,Claimed,887700,1
P000127,I00090,F,1995,20,2015-07-24,2015,2026-12-31,2026,Term Life,15,11,4200000,17600,Monthly,Non-Smoker,Preferred,Inforce,0,0
P000128,I00091,M,1955,60,2015-07-05,2015,2026-12-31,2026,Whole Life,99,11,1600000,54000,Annual,Non-Smoker,Standard,Inforce,257400,0
P000129,I00092,F,1956,66,2022-04-23,2022,2026-12-31,2026,Universal Life,99,4,3100000,65200,Annual,Non-Smoker,Standard,Inforce,165800,0
P000130,I00093,F,2002,22,2024-03-11,2024,2026-12-31,2026,Universal Life,40,2,3900000,60600,Annual,Non-Smoker,Substandard,Inforce,61300,0
P000131,I00093,F,2002,18,2010-09-18,2010,2026-12-31,2026,Universal Life,50,16,1400000,25600,Annual,Non-Smoker,Substandard,Inforce,335500,0
P000132,I00094,M,1983,29,2012-09-09,2012,2026-12-31,2026,Whole Life,99,14,1500000,28900,Semiannual,Non-Smoker,Standard,Inforce,100500,0
P000133,I00095,F,1987,31,2018-02-16,2018,2026-12-31,2026,Term Life,20,8,1900000,8600,Monthly,Non-Smoker,Standard,Inforce,0,0
P000134,I00095,F,1987,32,2019-01-25,2019,2026-12-31,2026,Universal Life,50,7,7500000,116200,Monthly,Non-Smoker,Standard,Inforce,432100,0
P000135,I00096,M,1964,57,2021-02-26,2021,2026-12-31,2026,Term Life,20,5,6100000,70400,Annual,Non-Smoker,Substandard,Inforce,0,0
P000136,I00097,M,1994,25,2019-03-20,2019,2026-12-31,2026,Universal Life,30,7,2700000,37100,Annual,Non-Smoker,Standard,Inforce,113200,0
P000137,I00098,F,1975,49,2024-11-17,2024,2026-12-31,2026,Whole Life,99,2,3100000,85800,Annual,Non-Smoker,Standard,Inforce,78800,0
P000138,I00099,M,1982,30,2012-03-22,2012,2026-12-31,2026,Term Life,30,14,2900000,13500,Quarterly,Non-Smoker,Standard,Inforce,0,0
P000139,I00100,M,1965,60,2025-12-15,2025,2026-12-31,2026,Whole Life,99,1,3100000,108900,Annual,Non-Smoker,Standard,Inforce,29400,0
P000140,I00101,F,1988,33,2021-08-05,2021,2026-12-31,2026,Universal Life,99,5,1700000,21100,Annual,Non-Smoker,Standard,Inforce,59900,0
P000141,I00102,M,1962,54,2016-11-01,2016,2026-12-31,2026,Whole Life,99,10,1500000,38900,Monthly,Non-Smoker,Standard,Inforce,85300,0
P000142,I00103,F,1976,44,2020-02-02,2020,2026-12-31,2026,Universal Life,30,6,4700000,72900,Annual,Non-Smoker,Standard,Inforce,187100,0
P000143,I00104,M,1962,48,2010-07-17,2010,2026-12-31,2026,Universal Life,40,16,1000000,18300,Monthly,Non-Smoker,Preferred,Inforce,234000,0
P000144,I00105,F,2003,18,2016-07-14,2016,2026-12-31,2026,Term Life,30,10,1400000,9400,Annual,Non-Smoker,Substandard,Inforce,0,0
P000145,I00105,F,2003,18,2019-11-02,2019,2026-12-31,2026,Universal Life,40,7,2300000,41100,Quarterly,Non-Smoker,Substandard,Claimed,157600,1
P000146,I00106,F,1969,45,2014-08-28,2014,2026-12-31,2026,Term Life,20,12,2400000,17000,Annual,Non-Smoker,Standard,Inforce,0,0
P000147,I00107,F,1971,49,2020-09-27,2020,2026-12-31,2026,Universal Life,99,6,2200000,35500,Quarterly,Non-Smoker,Preferred,Inforce,134100,0
P000148,I00108,F,1977,46,2023-05-09,2023,2026-12-31,2026,Term Life,25,3,2100000,11000,Monthly,Non-Smoker,Preferred,Inforce,0,0
P000149,I00108,F,1977,47,2024-10-10,2024,2026-12-31,2026,Universal Life,50,2,2300000,40200,Monthly,Non-Smoker,Preferred,Inforce,67100,0
P000150,I00109,M,1978,35,2013-01-06,2013,2026-12-31,2026,Universal Life,30,13,5700000,78400,Monthly,Non-Smoker,Preferred,Inforce,563900,0
P000151,I00110,F,1999,21,2020-12-14,2020,2026-12-31,2026,Term Life,25,6,2100000,10100,Annual,Non-Smoker,Standard,Inforce,0,0
P000152,I00111,M,1973,43,2016-02-28,2016,2026-12-31,2026,Whole Life,99,10,2500000,84200,Quarterly,Smoker,Preferred,Inforce,389900,0
P000153,I00112,M,1959,59,2018-12-16,2018,2026-12-31,2026,Term Life,15,8,1200000,7400,Monthly,Non-Smoker,Preferred,Inforce,0,0
P000154,I00113,M,1986,38,2024-10-01,2024,2026-12-31,2026,Universal Life,50,2,2500000,54800,Quarterly,Smoker,Standard,Inforce,76900,0
P000155,I00113,M,1986,36,2022-05-17,2022,2026-12-31,2026,Whole Life,99,4,2100000,69100,Quarterly,Smoker,Standard,Inforce,101300,0
P000156,I00113,M,1986,36,2022-11-25,2022,2026-12-31,2026,Term Life,20,4,2700000,21200,Semiannual,Smoker,Standard,Inforce,0,0
P000157,I00114,F,1998,23,2021-06-24,2021,2026-12-31,2026,Term Life,30,5,3600000,12600,Semiannual,Non-Smoker,Preferred,Inforce,0,0
P000158,I00114,F,1998,24,2022-02-27,2022,2026-12-31,2026,Universal Life,30,4,3300000,41100,Annual,Non-Smoker,Preferred,Inforce,107700,0
P000159,I00115,M,1955,66,2021-05-31,2021,2026-12-31,2026,Term Life,20,5,2800000,27000,Annual,Non-Smoker,Standard,Inforce,0,0
P000160,I00116,F,1977,35,2012-08-10,2012,2026-12-31,2026,Term Life,20,14,2800000,13300,Annual,Non-Smoker,Standard,Inforce,0,0
P000161,I00116,F,1977,34,2011-03-22,2011,2026-12-31,2026,Whole Life,99,15,3900000,70100,Semiannual,Non-Smoker,Standard,Inforce,438300,0
P000162,I00117,F,1991,33,2024-08-20,2024,2026-12-31,2026,Term Life,20,2,4500000,22900,Annual,Non-Smoker,Standard,Inforce,0,0
P000163,I00117,F,1991,27,2018-01-02,2018,2026-12-31,2026,Universal Life,40,8,1700000,24400,Semiannual,Non-Smoker,Standard,Inforce,165100,0
P000164,I00118,F,1962,57,2019-05-15,2019,2026-12-31,2026,Term Life,15,7,1600000,25700,Annual,Smoker,Substandard,Inforce,0,0
P000165,I00119,M,1967,57,2024-09-13,2024,2026-12-31,2026,Term Life,10,2,1200000,8200,Annual,Non-Smoker,Standard,Inforce,0,0
P000166,I00119,M,1967,58,2025-04-02,2025,2026-12-31,2026,Universal Life,40,1,3500000,85800,Monthly,Non-Smoker,Standard,Inforce,60800,0
P000167,I00120,F,1962,54,2016-09-16,2016,2026-12-31,2026,Term Life,10,10,6300000,51400,Monthly,Non-Smoker,Standard,Inforce,0,0
P000168,I00121,M,1977,42,2019-02-24,2019,2026-12-31,2026,Term Life,25,7,2000000,18600,Quarterly,Smoker,Preferred,Inforce,0,0
P000169,I00121,M,1977,44,2021-11-17,2021,2026-12-31,2026,Whole Life,99,5,900000,26500,Semiannual,Smoker,Preferred,Inforce,27200,0
P000170,I00122,M,1997,23,2020-06-01,2020,2026-12-31,2026,Whole Life,99,6,1000000,17500,Annual,Non-Smoker,Standard,Inforce,55600,0
P000171,I00122,M,1997,19,2016-11-23,2016,2026-12-31,2026,Universal Life,30,10,2000000,22800,Monthly,Non-Smoker,Standard,Inforce,105600,0
P000172,I00123,M,1955,66,2021-09-17,2021,2026-12-31,2026,Universal Life,30,5,1500000,41200,Semiannual,Non-Smoker,Standard,Inforce,149200,0
P000173,I00124,M,1999,24,2023-11-08,2023,2026-12-31,2026,Term Life,25,3,1800000,7200,Semiannual,Non-Smoker,Standard,Inforce,0,0
P000174,I00125,F,1978,42,2020-04-11,2020,2026-12-31,2026,Term Life,25,6,2000000,18300,Annual,Non-Smoker,Substandard,Inforce,0,0
P000175,I00126,F,1989,25,2014-03-20,2014,2026-12-31,2026,Term Life,20,12,2900000,20600,Semiannual,Smoker,Standard,Lapsed,0,0
P000176,I00127,M,1978,42,2020-07-10,2020,2026-12-31,2026,Universal Life,99,6,1900000,25500,Quarterly,Non-Smoker,Preferred,Inforce,54800,0
